   16.4 3 	      8.3 % 17 	  0.0014 3 
    41.9 2 	      0.83 % 8 	  3.5E-4 3 
    46.8 2 	      0.58 % 8 	  2.7E-4 4 
    79.4 2 	      1.74 % 8 	  0.00138 7 
    88.7 1 	      2.15 % 8 	  0.00191 7 
   102.8 1 	      2.32 % 8 	  0.00238 9 
   112.1 1 	      2.07 % 8 	  0.00232 9 
   144.7 1 	     82.78 %	  0.1198
   191.5 2 	      9.35 % 17 	  0.0179 3 
    50.88 4 	      0.0100 % 14 	  5.1E-6 7 
   112.59 7  ?	      0.108 % 19 	  1.21E-4 21 
   113.5 1  ?	      0.0057 % 10 	  6.5E-6 11 
   142.66 6 	      0.0093 % 10 	  1.32E-5 14 
   231.06 3 	      0.0270 % 8 	  6.24E-5 18 
   289.51 4 	      0.199 % 5 	  5.78E-4 14 
   306.12 18 	      0.0239 % 19 	  7.3E-5 6 
   317.87 3 	      0.0209 % 5 	  6.64E-5 15 
   336.683 19 	      0.122 % 4 	  4.11E-4 13 
   374.34 3 	      0.0178 % 8 	  6.6E-5 3 
   381.67 6 	      0.304 % 5 	  0.001158 18 
   402.02 7 	      0.019 % 5 	  7.7E-5 19 
   428.645 18 	      0.216 % 6 	  9.25E-4 25 
   449.838 16 	      0.111 % 6 	  5.0E-4 3 
   479.45 3 	      0.100 % 3 	  4.81E-4 14 
   496.07 3 	      0.0565 % 9 	  2.80E-4 4 
   520.850 19 	      0.058 % 3 	  3.03E-4 15 
   587.451 21 	      0.138 % 5 	  8.1E-4 3 
   600.912 15 	      5.822 % 19 	  0.03499 12 
   629.967 19 	     26.13 % 4 	  0.1646 3 
   633.466 14 	      0.1580 % 24 	  0.001001 15 
   642.466 14 	      0.1059 % 10 	  6.81E-4 6 
   735.694 12 	      0.370 % 3 	  0.002725 21 
   738.272 23 	      0.0473 % 21 	  3.50E-4 16 
   772.64 3 	      0.0286 % 20 	  2.21E-4 15 
   786.525 12 	      3.340 % 15 	  0.02627 12 
   810.330 13 	      2.087 % 8 	  0.01691 6 
   834.13 4 	     95.45 % 8 	  0.7962 6 
   861.179 14 	      0.939 % 3 	  0.00809 3 
   878.52 2 	      0.064 % 4 	  5.6E-4 3 
   894.327 18 	     10.136 % 15 	  0.09065 13 
   924.79 4 	      0.129 % 9 	  0.00119 8 
   938.4 2  ?	      0.073 % 5 	  6.8E-4 4 
   939.64 4 	      0.282 % 6 	  0.00265 5 
   970.76 3 	      1.103 % 4 	  0.01071 4 
   975.539 23 	      0.0451 % 12 	  4.40E-4 12 
   999.989 19 	      0.803 % 6 	  0.00803 6 
  1037.35 6 	      0.0184 % 15 	  1.91E-4 16 
  1050.794 17 	      6.991 % 11 	  0.07346 12 
  1155.7 6  ?	      0.0105 % 19 	  1.21E-4 22 
  1163.12 18 	      0.094 % 9 	  0.00110 10 
  1192.24 7  ?	      0.0048 % 10 	  5.7E-5 11 
  1215.139 13 	      0.811 % 6 	  0.00986 7 
  1230.931 13 	      1.425 % 8 	  0.01754 9 
  1260.123 13 	      1.169 % 9 	  0.01473 11 
  1276.797 13 	      1.587 % 5 	  0.02027 6 
  1390.306 21 	      0.0821 % 19 	  0.00114 3 
  1464.054 14 	      3.609 % 11 	  0.05284 16 
  1500.48 7 	      0.0193 % 8 	  2.89E-4 11 
  1568.07 2 	      0.164 % 15 	  0.00257 24 
  1571.600 14 	      0.829 % 10 	  0.01304 15 
  1596.733 14 	      4.390 % 14 	  0.07009 22 
  1613.321 20 	      0.037 % 3 	  6.0E-4 5 
  1629.90 21 	      0.027 % 4 	  4.4E-4 6 
  1680.742 15 	      0.912 % 9 	  0.01532 14 
  1710.41 20 	      0.392 % 11 	  0.00671 20 
  1711.15 15 	      0.046 % 10 	  7.8E-4 18 
  1837.15 4 	      0.25 % 3 	  0.0046 5 
  1861.996 18 	      5.41 % 3 	  0.1008 5 
  1877.692 19 	      0.228 % 4 	  0.00428 7 
  1920.20 17 	      0.160 % 5 	  0.00308 9 
  1991.16 3 	      0.101 % 9 	  0.00201 17 
  2028.94 7 	      0.115 % 3 	  0.00234 6 
  2109.361 19 	      1.085 % 10 	  0.02289 20 
  2201.586 17 	     26.87 % 12 	  0.592 3 
  2214.024 20 	      0.218 % 10 	  0.00482 21 
  2402.57 8  ?	      0.0443 % 17 	  0.00106 4 
  2404.3 8  ?	      0.015 % 4 	  3.7E-4 9 
  2491.026 17 	      7.73 % 3 	  0.1926 7 
  2507.718 17 	     13.33 % 6 	  0.3344 15 
  2515.857 22 	      0.258 % 14 	  0.0065 4 
  2582.39 12  ?	      0.0127 % 14 	  3.3E-4 4 
  2605.44 5 	      0.0153 % 19 	  4.0E-4 5 
  2621.279 23 	      0.141 % 6 	  0.00370 15 
  2633.57 4 	      0.0167 % 12 	  4.4E-4 3 
  2785.83 5  ?	      0.0300 % 9 	  8.35E-4 24 
  2844.16 3 	      0.446 % 8 	  0.01268 22 
  2940.18 9  ?	      0.0136 % 18 	  4.0E-4 5 
  2942.4 9 	      0.026 % 6 	  7.6E-4 17 
  2950.0 5  ?	      0.0047 % 3 	  1.38E-4 8 
  2981.49 6 	      0.060 % 3 	  0.00179 9 
  3034.6 4 	      0.0046 % 9 	  1.4E-4 3 
  3094.31 15 	      0.0162 % 6 	  5.02E-4 18 
  3325.30 14 	      0.0066 % 14 	  2.2E-4 5 
  3338.54 15  ?	      0.0043 % 6 	  1.43E-4 19 
  3678.5 4 	      8.6E-4 % 19 	  3.2E-5 7 
